Country_code_A3,Name,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AIA,Anguilla,PM2.5,0.084455205,0.086644137,0.089494258,0.08878412,0.090151132,0.096967116,0.094111666,0.095980091,0.094874314,0.101913664,0.091363398,0.096366351,0.100438003,0.096217598,0.100042597,0.09792902,0.090986029,0.080004256,0.086639589,0.088090026,0.084636411,0.087287012,0.091014967,0.086583747,0.088304463,0.101006497,0.10100552,0.099269078,0.093958771,0.095514067,0.104800305,0.102475124,0.098102994,0.099441891,0.098123737,0.097446194,0.100650588,0.095395413,0.098674325,0.098831055,0.105011864,0.105244221,0.10488318,0.104508018,0.102821627,0.104480172,0.095978424,0.095831152,0.095478007
AIA,Anguilla,PM10,0.070141079,0.071978755,0.07517226,0.0743687,0.075809331,0.084078583,0.080774478,0.08234954,0.081350203,0.08857647,0.075602184,0.081410094,0.085101897,0.081489948,0.085798752,0.083684662,0.077834904,0.067379665,0.07316278,0.074032556,0.070269721,0.072832234,0.076597685,0.072805349,0.073592228,0.086606093,0.08711553,0.085204088,0.080589213,0.082438847,0.092868874,0.0897451,0.085394603,0.08637214,0.085499773,0.083832638,0.087326241,0.081008939,0.083465817,0.083468767,0.09022975,0.090326376,0.089927922,0.089453185,0.087716552,0.089277695,0.080446054,0.080215915,0.079799414
AIA,Anguilla,NMVOC,0.067653575,0.067981338,0.068033736,0.066267925,0.067926798,0.06733374,0.064526409,0.066201739,0.069488569,0.070310816,0.079863466,0.08538003,0.088202014,0.0856475,0.084493709,0.076162577,0.070785918,0.080826709,0.080743417,0.079287071,0.078259137,0.081805994,0.08320589,0.084732562,0.087782207,0.089753561,0.087996669,0.084919116,0.081377087,0.079190198,0.080701665,0.079659289,0.072125321,0.074555294,0.073426992,0.072629017,0.066663117,0.065720667,0.068583478,0.07263198,0.073971834,0.075211785,0.074601231,0.074705463,0.072853583,0.072207234,0.070863291,0.070729791,0.068901624
AIA,Anguilla,SO2,0.053644491,0.0538838,0.053679843,0.053830437,0.056427253,0.058309687,0.056170856,0.058515637,0.058390114,0.057480181,0.064907545,0.072827453,0.078058676,0.075139566,0.075988982,0.067061169,0.05909516,0.051321579,0.0579285,0.058478597,0.058695726,0.063675229,0.067550552,0.05992194,0.066685898,0.06173182,0.060918451,0.058922768,0.048392714,0.047380599,0.042813279,0.045414447,0.042862356,0.04453636,0.041720739,0.040300986,0.040707995,0.040186332,0.041495765,0.04036794,0.041928291,0.045280256,0.045125432,0.044101154,0.044051011,0.044120838,0.044517234,0.044906357,0.044867263
AIR,Int. Aviation,PM10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AIR,Int. Aviation,PM2.5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AIR,Int. Aviation,NMVOC,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AIR,Int. Aviation,CO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AIR,Int. Aviation,NH3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AIR,Int. Aviation,NOx,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
